experiment,model,solver,mode,test_case,avg_sec,avg_iter,objective,termination,numerical_issues,presolve
262,7296.mps,gurobi,jump_conic_dual,7,209.83,152.00,18469925.54,OPTIMAL,yes,no
263,7296.mps,gurobi,jump_conic_dual,8,14.63,80.00,18470038.33,OPTIMAL,no,yes
264,7296.mps,gurobi,general,5,174.37,219.00,18469720.14,OPTIMAL,yes,no
265,7296.mps,gurobi,general,6,12.01,72.00,18470039.35,OPTIMAL,no,yes
266,7296.mps,gurobi,general,7,137.47,136.00,18469640.45,OPTIMAL,yes,no
267,7296.mps,gurobi,general,8,14.08,79.00,18470038.92,OPTIMAL,no,yes
268,7296.mps,highs,primal,5,88.98,94.00,18470059.21,OTHER_RESULT_STATUS,yes,yes
269,7296.mps,highs,jump_conic_dual,5,81.43,90.00,-18469909.56,OTHER_RESULT_STATUS,yes,yes
270,7296.mps,highs,general,5,74.76,92.00,-18469956.11,OTHER_RESULT_STATUS,yes,yes
271,8016.mps,gurobi,primal,5,8.16,60.00,20376280.74,OPTIMAL,no,yes
272,8016.mps,gurobi,primal,6,50.55,78.00,20376143.39,OPTIMAL,yes,no
273,8016.mps,gurobi,primal,7,9.15,63.00,20376146.42,OPTIMAL,no,yes
274,8016.mps,gurobi,primal,8,68.36,75.00,20376146.39,OPTIMAL,yes,no
275,8016.mps,gurobi,jump_conic_dual,5,345.10,290.00,20374891.42,OPTIMAL,yes,no
276,8016.mps,gurobi,jump_conic_dual,6,12.62,72.00,20376126.57,OPTIMAL,no,yes
277,8016.mps,gurobi,jump_conic_dual,7,255.63,167.00,20375941.82,OPTIMAL,yes,no
278,8016.mps,gurobi,jump_conic_dual,8,13.64,72.00,20376147.11,OPTIMAL,no,yes
279,8016.mps,gurobi,general,5,162.24,192.00,20375103.12,OPTIMAL,yes,no
280,8016.mps,gurobi,general,6,13.17,71.00,20376165.00,OPTIMAL,no,yes
281,8016.mps,gurobi,general,7,169.52,133.00,20375476.33,OPTIMAL,yes,no
282,8016.mps,gurobi,general,8,15.84,71.00,20376137.99,OPTIMAL,no,yes
283,8016.mps,highs,primal,5,118.12,96.00,20376204.15,OTHER_RESULT_STATUS,yes,yes
284,8016.mps,highs,jump_conic_dual,5,92.92,84.00,-20375995.93,OTHER_RESULT_STATUS,yes,yes
285,8016.mps,highs,general,5,90.28,88.00,-20376057.12,OTHER_RESULT_STATUS,yes,yes
286,8760.mps,gurobi,primal,5,10.53,70.00,22390249.18,OPTIMAL,no,yes
287,8760.mps,gurobi,primal,6,62.91,77.00,22390585.78,OPTIMAL,yes,no
288,8760.mps,gurobi,primal,7,18.60,82.00,22389511.38,OPTIMAL,no,yes
289,8760.mps,gurobi,primal,8,116.34,101.00,22389433.08,OPTIMAL,yes,no
